"algo","cv_run","metric","calibration","validation","diff"
"XGBOOST","RUN1","TSS",0.825,0.796,0.0289999999999999
"XGBOOST","RUN1","ROC",0.954,0.946,0.00800000000000001
"RF","RUN1","TSS",0.842,0.774,0.0679999999999999
"RF","RUN1","ROC",0.96,0.943,0.017
"GBM","RUN1","TSS",0.829,0.818,0.011
"GBM","RUN1","ROC",0.962,0.955,0.00700000000000001
"XGBOOST","RUN2","TSS",0.811,0.832,-0.0209999999999999
"XGBOOST","RUN2","ROC",0.953,0.953,0
"RF","RUN2","TSS",0.823,0.782,0.0409999999999999
"RF","RUN2","ROC",0.955,0.939,0.016
"GBM","RUN2","TSS",0.825,0.832,-0.00700000000000001
"GBM","RUN2","ROC",0.962,0.965,-0.003
"XGBOOST","RUN3","TSS",0.815,0.817,-0.002
"XGBOOST","RUN3","ROC",0.955,0.953,0.002
"RF","RUN3","TSS",0.836,0.768,0.0679999999999999
"RF","RUN3","ROC",0.956,0.933,0.0229999999999999
"GBM","RUN3","TSS",0.834,0.823,0.011
"GBM","RUN3","ROC",0.963,0.961,0.002
