"variables","corTest","AUCtest"
"aspect_250m",0.6,0
"bottom_salinity_mean_resample_250m",13.26,5.12
"bpi_4000_20000_250m",0.23,0
"bpi_500_5000_250m",0.17,0.2
"chloro_a_mean_resample_250m",0.99,0.8
"depth_250m",4.25,1.48
"distance_from_coast_250m",0.44,0.16
"distance_to_rivers_250m",1.14,0.84
"fishing_effort_mean_250m",0.1,0
"fishing_effort_quantiles_250m",0.23,0.08
"o2_bottom_mean_resample_250m",1.83,0.12
"o2_bottom_sd_resample_250m",0.81,0
"ph_mean_resample_250m",0.77,1.24
"ph_sd_resample_250m",4.39,0.68
"primary_productivity_sd_resample_250m",0.87,0.4
"secchi_depth_mean_resample_250m",3.11,0.36
"secchi_depth_sd_resample_250m",7.56,1.16
"slope_250m",0.22,0
"summer_bottomT_mean_resample_250m",12.86,3.88
"wave_sig_height_sd_resample_250m",3.98,0.52
"winter_bottomT_mean_resample_250m",2.22,0.6
"year_round_surfaceT_sd_resample_250m",0.95,0.04
